Topic,SubTopic,S.No,Question Name,Question Link,Java Solution
Design Data Structures,Design,13,Implement queue using stack,https://leetcode.com/problems/implement-queue-using-stacks/,./src/main/java/Stack/
Recursion Backtracking,Recursion,1,Factorial,https://practice.geeksforgeeks.org/problems/factorial5739/1,./src/main/java/recursion/FactorialAndFibonacci.java
Recursion Backtracking,Recursion,2,Fibonacci,https://practice.geeksforgeeks.org/problems/nth-fibonacci-number1335/1,./src/main/java/recursion/FactorialAndFibonacci.java
Recursion Backtracking,Recursion,3,Integer to English words,https://leetcode.com/problems/integer-to-english-words/,./src/main/java/recursion/IntegerToEnglishWords.java
Recursion Backtracking,Recursion,4,Power of any number -3 4,https://leetcode.com/problems/power-of-three/,./src/main/java/recursion/PowerOfANumber.java
Recursion Backtracking,Recursion,5,X raised to power n,https://leetcode.com/problems/powx-n/,./src/main/java/recursion/PowerOfXRaisedToN.java
Recursion Backtracking,Recursion,6,Count good Numbers,https://leetcode.com/problems/count-good-numbers/,./src/main/java/recursion/CountGoodNumbers.java
Recursion Backtracking,Recursion,7,Josephus problem,https://leetcode.com/problems/find-the-winner-of-the-circular-game/,./src/main/java/recursion/JosephusProblem.java
Recursion Backtracking,Recursion,8,Special keyboard,https://practice.geeksforgeeks.org/problems/special-keyboard3018/1,./src/main/java/recursion/SpecialKeyboard.java
Recursion Backtracking,Recursion,9,Towers of hanoi,https://practice.geeksforgeeks.org/problems/tower-of-hanoi-1587115621/1,./src/main/java/recursion/TowersOfHanoi.java
Recursion Backtracking,Backtracking,1,Subsets I & II,https://leetcode.com/problems/subsets/,./src/main/java/backtracking/Subsets_I.java
Recursion Backtracking,Backtracking,2,Permutations I & II,https://leetcode.com/problems/permutations/,./src/main/java/backtracking/Permutation.java
Recursion Backtracking,Backtracking,3,Combinations,https://leetcode.com/problems/combinations/,./src/main/java/backtracking/Combination.java
Recursion Backtracking,Backtracking,4,Combination Sum I II and III,https://leetcode.com/problems/combination-sum/,./src/main/java/backtracking/CombinationSum.java
Recursion Backtracking,Backtracking,5,Letter combinations,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,./src/main/java/backtracking/LetterCombinationsOfAPhoneNumber.java
Recursion Backtracking,Backtracking,6,Generate parenthesis,https://leetcode.com/problems/generate-parentheses/,./src/main/java/backtracking/GenerateParenthesis.java
Recursion Backtracking,Backtracking,7,Decode ways,https://leetcode.com/problems/decode-ways/,./src/main/java/backtracking/DecodeWays.java
Recursion Backtracking,Backtracking,8,Restore Ip address,https://leetcode.com/problems/restore-ip-addresses/,./src/main/java/backtracking/RestoreIpAddress.java
Recursion Backtracking,Backtracking,9,Rat In a maze,https://www.geeksforgeeks.org/rat-in-a-maze/,./src/main/java/backtracking/RatInaMaze.java
Recursion Backtracking,Backtracking,10,Valid sudoku,https://leetcode.com/problems/valid-sudoku/,./src/main/java/backtracking/ValidSuduko.java
Recursion Backtracking,Backtracking,11,Sudoku solver,https://leetcode.com/problems/sudoku-solver/,./src/main/java/backtracking/SudukoSolver.java
Recursion Backtracking,Backtracking,12,N-Queens Problem I & II,https://leetcode.com/problems/n-queens/,./src/main/java/backtracking/NQueens.java
Dynamic Programming,Dp on stocks,1,Best Time to Buy and Sell Stock I,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,./src/main/java/DynamicProgramming/
Dynamic Programming,Dp on stocks,2,Best Time to Buy and Sell Stock II,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/,./src/main/java/DynamicProgramming/
Dynamic Programming,Dp on stocks,3,Best Time to Buy and Sell Stock III,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii/,./src/main/java/DynamicProgramming/
Dynamic Programming,Dp on stocks,4,Best Time to Buy and Sell Stock IV,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv/,./src/main/java/DynamicProgramming/
Dynamic Programming,Dp on stocks,5,Best time to buy and sell stock with cooldown,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown/,./src/main/java/DynamicProgramming/
Dynamic Programming,Dp on LIS,1,Longest Increasing subsequence,https://leetcode.com/problems/longest-increasing-subsequence/,./src/main/java/DynamicProgramming/
Dynamic Programming,1D DP,1,Fibonacci,https://leetcode.com/problems/fibonacci-number/,./src/main/java/DynamicProgramming/
Dynamic Programming,1D DP,2,Climbing Stairs I,https://leetcode.com/problems/climbing-stairs/,./src/main/java/DynamicProgramming/
Dynamic Programming,1D DP,3,Climbing Stairs II,https://leetcode.com/problems/min-cost-climbing-stairs/,./src/main/java/DynamicProgramming/
Dynamic Programming,1D DP,4,House Robber I,https://leetcode.com/problems/house-robber/,./src/main/java/DynamicProgramming/
Dynamic Programming,1D DP,5,House Robber II,https://leetcode.com/problems/house-robber-ii/,./src/main/java/DynamicProgramming/
Dynamic Programming,1D DP,6,Frog Jump I,https://leetcode.com/problems/frog-jump/,./src/main/java/DynamicProgramming/
Dynamic Programming,1D DP,7,Frog Jump II,https://leetcode.com/problems/frog-jump-ii/,./src/main/java/DynamicProgramming/
Dynamic Programming,1D DP,8,Unique Paths I II III,https://leetcode.com/problems/target-sum,./src/main/java/DynamicProgramming/
Dynamic Programming,Dp on subsequences,1,Coin change I,https://leetcode.com/problems/coin-change/,./src/main/java/DynamicProgramming/
Dynamic Programming,Dp on subsequences,2,Coin change II,https://leetcode.com/problems/coin-change-ii/,./src/main/java/DynamicProgramming/
Dynamic Programming,Dp on subsequences,3,Target Sum,https://leetcode.com/problems/target-sum,./src/main/java/DynamicProgramming/
Dynamic Programming,Dp on subsequences,4,Rod cutting to maximize profit,https://takeuforward.org/data-structure/rod-cutting-problem-dp-24/,./src/main/java/DynamicProgramming/
Dynamic Programming,Dp on subsequences,5,Subset Sum,https://takeuforward.org/data-structure/subset-sum-equal-to-target-dp-14/,./src/main/java/DynamicProgramming/
Dynamic Programming,Dp on subsequences,6,Partition equal subset sum,https://leetcode.com/problems/partition-equal-subset-sum/,./src/main/java/DynamicProgramming/
Dynamic Programming,Dp on subsequences,7,Partition to K Equal Sum Subsets,https://leetcode.com/problems/partition-to-k-equal-sum-subsets,./src/main/java/DynamicProgramming/
Dynamic Programming,Dp on Strings,1,Edit distance,https://leetcode.com/problems/edit-distance/,./src/main/java/DynamicProgramming/
Dynamic Programming,Dp on Strings,2,InterLeaving String,https://leetcode.com/problems/interleaving-string/,./src/main/java/DynamicProgramming/
Dynamic Programming,Dp on Strings,3,Regular expression,https://leetcode.com/problems/regular-expression-matching/,./src/main/java/backtracking/RegularExpressionMatching.java
Dynamic Programming,Dp on Strings,4,Wildcard,https://leetcode.com/problems/wildcard-matching/,./src/main/java/backtracking/WildCard.java
Dynamic Programming,Dp on Strings,5,Word break,https://leetcode.com/problems/word-break/,./src/main/java/backtracking/WordBreak_I.java
Dynamic Programming,Dp on Strings,6,Word break II,https://leetcode.com/problems/word-break-ii/,./src/main/java/backtracking/WordBreak_II.java
Dynamic Programming,Dp on Strings,7,Word Search,https://leetcode.com/problems/word-search/,./src/main/java/backtracking/WordSearch_I.java
Dynamic Programming,Dp on Strings,8,Word Search II,https://leetcode.com/problems/word-search-ii/,./src/main/java/backtracking/WordSearch_II.java
Dynamic Programming,Dp on Strings,9,Longest Common substring,https://takeuforward.org/data-structure/longest-common-substring-dp-27/,./src/main/java/DynamicProgramming/
Dynamic Programming,Dp on Strings,10,Longest Common subsequence,https://leetcode.com/problems/longest-palindromic-subsequence/,./src/main/java/DynamicProgramming/
Dynamic Programming,Dp on Strings,11,Longest Palindromic subsequence,https://leetcode.com/problems/longest-palindromic-subsequence/,./src/main/java/DynamicProgramming/
Dynamic Programming,Dp on Strings,12,Longest Palindromic substring,https://leetcode.com/problems/longest-palindromic-substring/,./src/main/java/DynamicProgramming/
Dynamic Programming,Dp on Strings,13,Count of palindromic substrings,https://takeuforward.org/data-structure/minimum-insertions-to-make-string-palindrome-dp-29/,./src/main/java/DynamicProgramming/
Dynamic Programming,Dp on MCM partition,1,Matrix chain multiplication - burst balloons,https://leetcode.com/problems/burst-balloons,./src/main/java/DynamicProgramming/
Dynamic Programming,Dp on MCM partition,2,Palindrome partitioning,https://leetcode.com/problems/palindrome-partitioning/,./src/main/java/DynamicProgramming/
Dynamic Programming,Dp on MCM partition,3,Palindrome partitioning II,https://leetcode.com/problems/palindrome-partitioning-ii/,./src/main/java/DynamicProgramming/
Dynamic Programming,Dp on MCM partition,4,Minimum cost to cut a stick,https://leetcode.com/problems/minimum-cost-to-cut-a-stick/,./src/main/java/DynamicProgramming/
Dynamic Programming,Dp on Squares misc,1,Maximal square,https://leetcode.com/problems/maximal-square/,./src/main/java/DynamicProgramming/
Dynamic Programming,Dp on Squares misc,2,Triangle,https://leetcode.com/problems/triangle/,./src/main/java/DynamicProgramming/
Dynamic Programming,Dp on Squares misc,3,Minimum path sum,https://leetcode.com/problems/minimum-path-sum/,./src/main/java/DynamicProgramming/
Dynamic Programming,Dp on Squares misc,4,Maximal rectangle,https://leetcode.com/problems/maximal-rectangle/,./src/main/java/DynamicProgramming/
Trees,BFS,1,BFS - I,https://leetcode.com/problems/binary-tree-level-order-traversal/,./src/main/java/Trees/TreeTraversals.java
Trees,BFS,2,BFS - II,https://leetcode.com/problems/binary-tree-level-order-traversal-ii/,./src/main/java/Trees/TreeTraversals.java
Trees,BFS,3,N-ary Tree Level Order Traversal,https://leetcode.com/problems/n-ary-tree-level-order-traversal/,./src/main/java/Trees/TreeTraversals.java
Trees,BFS,4,Average of Levels in a BT,https://leetcode.com/problems/average-of-levels-in-binary-tree/,./src/main/java/Trees/TreeTraversals.java
Trees,BFS,5,Cousins in BT,https://leetcode.com/problems/cousins-in-binary-tree/,./src/main/java/Trees/TreeTraversals.java
Trees,DFS,1,Pre-Order,https://leetcode.com/problems/binary-tree-preorder-traversal/,./src/main/java/Trees/TreeTraversals.java
Trees,DFS,2,N-Ary Tree Pre-order,https://leetcode.com/problems/n-ary-tree-preorder-traversal/,./src/main/java/Trees/TreeTraversals.java
Trees,DFS,3,Post-Order,https://leetcode.com/problems/binary-tree-postorder-traversal/,./src/main/java/Trees/TreeTraversals.java
Trees,DFS,4,N-Ary Tree Post-order,https://leetcode.com/problems/n-ary-tree-postorder-traversal/,./src/main/java/Trees/TreeTraversals.java
Trees,DFS,5,In-Order,https://leetcode.com/problems/binary-tree-inorder-traversal/,./src/main/java/Trees/TreeTraversals.java
Trees,Tree Properties,1,Height of Binary Tree,https://practice.geeksforgeeks.org/problems/height-of-binary-tree/1,./src/main/java/Trees/TreeProperties.java
Trees,Tree Properties,2,Maximum Depth of Binary Tree,https://leetcode.com/problems/maximum-depth-of-binary-tree/,./src/main/java/Trees/TreeProperties.java
Trees,Tree Properties,3,Minimum Depth of Binary Tree,https://leetcode.com/problems/minimum-depth-of-binary-tree/,./src/main/java/Trees/TreeProperties.java
Trees,Tree Properties,4,Maximum Depth of N-ary Tree,https://leetcode.com/problems/maximum-depth-of-n-ary-tree/,./src/main/java/Trees/TreeProperties.java
Trees,Tree Properties,5,Diameter of Binary Tree,https://leetcode.com/problems/diameter-of-binary-tree/,./src/main/java/Trees/TreeProperties.java
Trees,Tree Properties,6,Maximum Width of Binary Tree,https://leetcode.com/problems/maximum-width-of-binary-tree/,./src/main/java/Trees/TreeProperties.java
Trees,Tree Views,1,Left View of a Tree,https://practice.geeksforgeeks.org/problems/left-view-of-binary-tree/1,./src/main/java/Trees/TreeViews.java
Trees,Tree Views,2,Right View of a Tree,https://leetcode.com/problems/binary-tree-right-side-view/,./src/main/java/Trees/TreeViews.java
Trees,Tree Views,3,Top View of a Tree,https://practice.geeksforgeeks.org/problems/top-view-of-binary-tree/1,./src/main/java/Trees/TreeViews.java
Trees,Tree Views,4,Bottom View of a Tree,https://practice.geeksforgeeks.org/problems/bottom-view-of-binary-tree/1,./src/main/java/Trees/TreeViews.java
Trees,Tree Views,5,Bottom Left View of a Tree,https://leetcode.com/problems/find-bottom-left-tree-value/,./src/main/java/Trees/TreeViews.java
Trees,Tree Views,6,Boundary Traversal,https://practice.geeksforgeeks.org/problems/boundary-traversal-of-binary-tree/1,./src/main/java/Trees/TreeViews.java
Trees,Tree Views,7,Zigzag Traversal,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/,./src/main/java/Trees/TreeViews.java
Trees,Tree Views,8,Vertical Order Traversal,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree/,./src/main/java/Trees/TreeViews.java
Trees,Tree Validations,1,Invert BT,https://leetcode.com/problems/invert-binary-tree/,./src/main/java/Trees/Validations.java
Trees,Tree Validations,2,Same tree,https://leetcode.com/problems/same-tree/,./src/main/java/Trees/Validations.java
Trees,Tree Validations,3,Subtree of another tree,https://leetcode.com/problems/subtree-of-another-tree/,./src/main/java/Trees/Validations.java
Trees,Tree Validations,4,Symmetric Tree,https://leetcode.com/problems/symmetric-tree/,./src/main/java/Trees/Validations.java
Trees,Tree Validations,5,Balanced BT,https://leetcode.com/problems/balanced-binary-tree/,./src/main/java/Trees/Validations.java
Trees,Tree Validations,6,Validate BST,https://leetcode.com/problems/validate-binary-search-tree/,./src/main/java/Trees/Validations.java
Trees,Tree Validations,7,Unique BST,https://leetcode.com/problems/unique-binary-search-trees/,./src/main/java/Trees/Validations.java
Trees,Tree Constructions,1,Inorder Successor in BST,https://practice.geeksforgeeks.org/problems/inorder-successor-in-bst/1,./src/main/java/Trees/TreeViews.java
Trees,Tree Constructions,2,Count Leaves in Binary Tree,https://practice.geeksforgeeks.org/problems/count-leaves-in-binary-tree/1,./src/main/java/Trees/
Trees,Tree Constructions,3,Convert Sorted Array to Binary Search Tree,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree/,./src/main/java/Trees/
Trees,Tree Constructions,4,Convert Sorted List to Binary Search Tree,https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree/,./src/main/java/Trees/
Trees,Tree Constructions,5,Flatten Binary Tree to Linked List,https://leetcode.com/problems/flatten-binary-tree-to-linked-list/,./src/main/java/Trees/
Trees,Tree Constructions,6,Convert BST to sorted doubly linked list,https://www.lintcode.com/problem/1534/,./src/main/java/Trees/
Trees,Tree Constructions,7,Convert BST To Greater Tree,https://leetcode.com/problems/convert-bst-to-greater-tree/,./src/main/java/Trees/
Trees,Tree Constructions,8,Construct Binary Tree from Preorder and Inorder,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,./src/main/java/Trees/
Trees,Tree Constructions,9,Construct String from Binary Tree,https://leetcode.com/problems/construct-string-from-binary-tree/,./src/main/java/Trees/
Trees,Tree Sum,1,Path Sum I and II,https://leetcode.com/problems/path-sum/,./src/main/java/Trees/
Trees,Tree Sum,2,Sum root to leaf,https://leetcode.com/problems/sum-root-to-leaf-numbers/,./src/main/java/Trees/
Trees,Tree Sum,3,Maximum path sum,https://practice.geeksforgeeks.org/problems/maximum-path-sum/1,./src/main/java/Trees/
Trees,Tree Sum,4,Populating Next Right ptrs,https://leetcode.com/problems/populating-next-right-pointers-in-each-node/,./src/main/java/Trees/
Trees,Tree Sum,5,Trim a BST,https://leetcode.com/problems/trim-a-binary-search-tree/,./src/main/java/Trees/
Trees,Tree Sum,6,Serialize and Deserialize a Binary Tree,https://practice.geeksforgeeks.org/problems/serialize-and-deserialize-a-binary-tree/1,./src/main/java/Trees/
Trees,Tree Sum,7,LCA - BST,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/,./src/main/java/Trees/
Trees,Tree Sum,8,LCA - BT,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/,./src/main/java/Trees/
Trees,Tree Sum,9,Merge 2 binary trees,https://leetcode.com/problems/merge-two-binary-trees/,./src/main/java/Trees/
Trees,Tree Sum,10,Kth smallest element in a BST,https://leetcode.com/problems/kth-smallest-element-in-a-bst/,./src/main/java/Trees/
Graphs,Graph Representation,1,Graph Representation - Adjacency Matrix,https://practice.geeksforgeeks.org/problems/print-adjacency-list-1587115620/1,./src/main/java/Graphs/
Graphs,DFS,1,Depth First traversal,https://practice.geeksforgeeks.org/problems/depth-first-traversal-for-a-graph/1,./src/main/java/Graphs/GraphDFS.java
Graphs,DFS,2,Clone graph,https://leetcode.com/problems/clone-graph/,./src/main/java/Graphs/CloneGraph.java
Graphs,DFS,3,Flood fill,https://leetcode.com/problems/flood-fill/,./src/main/java/Graphs/FloodFill.java
Graphs,DFS,4,Number of islands,https://leetcode.com/problems/number-of-islands/,./src/main/java/Graphs/NumberOfIslands.java
Graphs,DFS,5,Max area of island,https://leetcode.com/problems/max-area-of-island/,./src/main/java/Graphs/MaxAreaOfIsland.java
Graphs,DFS,6,Surrounded regions,https://leetcode.com/problems/surrounded-regions/,./src/main/java/Graphs/SurroundedRegions.java
Graphs,DFS,7,Time needed to inform all employees,https://leetcode.com/problems/time-needed-to-inform-all-employees/,./src/main/java/Graphs/TimeNeededToInformAllEmployees.java
Graphs,BFS,1,Breadth First Traversal,https://practice.geeksforgeeks.org/problems/bfs-traversal-of-graph/1,./src/main/java/Graphs/GraphBFS.java
Graphs,BFS,2,Rotting oranges,https://leetcode.com/problems/rotting-oranges/,./src/main/java/Graphs/RottenOranges.java
Graphs,BFS,3,Word ladder,https://leetcode.com/problems/word-ladder/,./src/main/java/Graphs/WordLadder_BFS.java
Graphs,BFS,4,Minimum genetic mutation,https://leetcode.com/problems/minimum-genetic-mutation/,./src/main/java/Graphs/
Graphs,BFS,5,Snakes and ladder,https://leetcode.com/problems/snakes-and-ladders/,./src/main/java/Graphs/SnakesAndLadder.java
Graphs,BFS,6,Evaluate division,https://leetcode.com/problems/evaluate-division/,./src/main/java/Graphs/EvaluateDivison.java
Graphs,Topological Sorting,1,Topological sorting,https://practice.geeksforgeeks.org/problems/topological-sort/1,./src/main/java/Graphs/ToplogicalSort.java
Graphs,Topological Sorting,2,Course schedule I,https://leetcode.com/problems/course-schedule/,./src/main/java/Graphs/CourseSchedule_I.java
Graphs,Topological Sorting,3,Course Schedule II,https://leetcode.com/problems/course-schedule-ii/,./src/main/java/Graphs/CourseSchedule_II.java
Graphs,Topological Sorting,4,Alien dictionary,https://practice.geeksforgeeks.org/problems/alien-dictionary/1,./src/main/java/Graphs/AlienDictionary.java
Graphs,Disjoint Set,1,Disjoint set - Union find,https://practice.geeksforgeeks.org/problems/disjoint-set-union-find/1,./src/main/java/Graphs/DisjointSet.java
Graphs,Disjoint Set,2,Redundant connection,https://leetcode.com/problems/redundant-connection/,./src/main/java/Graphs/RedundantConnections.java
Graphs,Disjoint Set,3,Account merge,https://leetcode.com/problems/accounts-merge/,./src/main/java/Graphs/
Graphs,Disjoint Set,4,Minimum Spanning Tree - Kruskals,https://leetcode.com/problems/accounts-merge/,./src/main/java/Graphs/
Graphs,Cycle Detection,1,Cycle detection in directed graph,https://practice.geeksforgeeks.org/problems/detect-cycle-in-a-directed-graph/1,./src/main/java/Graphs/CycleDetectionInDirectedGraph.java
Graphs,Cycle Detection,2,Find eventual safe states,https://leetcode.com/problems/find-eventual-safe-states/,./src/main/java/Graphs/FindEventualSafeStates.java
Graphs,Cycle Detection,3,Cycle detection in undirected graph,https://practice.geeksforgeeks.org/problems/detect-cycle-in-an-undirected-graph/1,./src/main/java/Graphs/CycleDetectionInUndirectedGraph.java
Graphs,Other concepts,1,Graph coloring or Bipartite graph,https://practice.geeksforgeeks.org/problems/bipartite-graph/1,./src/main/java/Graphs/
Graphs,Other concepts,2,Single Source shortest path - Dijkstras,https://practice.geeksforgeeks.org/problems/detect-cycle-in-a-directed-graph/1,./src/main/java/Graphs/CycleDetectionInDirectedGraph.java
Tries,Tries,1,Implement Trie Data structure,https://leetcode.com/problems/implement-trie-prefix-tree/,
Tries,Tries,2,Longest common prefix,https://leetcode.com/problems/longest-common-prefix/,
Tries,Tries,3,Design add and search words data structure,https://leetcode.com/problems/design-add-and-search-words-data-structure/,
Segment Trees,Segment Trees,1,Range sum query mutable,https://leetcode.com/problems/range-sum-query-mutable/,
Segment Trees,Segment Trees,2,Range sum query immutable,https://leetcode.com/problems/range-sum-query-immutable/,
Segment Trees,Segment Trees,3,Range sum query 2D mutable,https://protegejj.gitbook.io/algorithm-practice/google/308-range-sum-query-2d-mutable,
Segment Trees,Segment Trees,4,Range sum query 2D immutable,https://leetcode.com/problems/range-sum-query-2d-immutable/,
